75	0.00265
47	0.0028
141	0.00975
125	0.0098
12	0.0123
29	0.0149
92	0.0153
12	0.01615
12	0.0295
125	0.0371
75	0.03785
92	0.0415
125	0.0434
47	0.04365
29	0.04455
125	0.0462
103	0.0516
12	0.0548
103	0.056
47	0.0582
103	0.05855
75	0.0628
12	0.0671
92	0.0686
75	0.07365
12	0.07395
141	0.0796
125	0.08295
103	0.08365
125	0.0866
54	0.08685
47	0.0875
12	0.09185
12	0.09435
29	0.0948
141	0.0949
12	0.0997
75	0.1007
29	0.10085
103	0.1028
141	0.1039
92	0.1054
103	0.10835
92	0.11405
47	0.11855
54	0.1217
103	0.12385
125	0.1246
141	0.1269
29	0.1283
47	0.1296
103	0.1333
54	0.13455
141	0.1353
92	0.1382
12	0.1412
29	0.1414
54	0.1435
141	0.1439
12	0.1441
125	0.14625
75	0.1486
141	0.14875
29	0.1494
47	0.15175
75	0.1521
29	0.15355
92	0.15395
125	0.1569
141	0.15705
12	0.15855
54	0.16045
92	0.16375
29	0.16425
47	0.1673
29	0.16825
47	0.17095
29	0.17395
125	0.1765
47	0.17725
103	0.1774
